2024-02-06 15:48:30 install libgcc-9-dev:amd64 <none> 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:30 status half-installed libgcc-9-dev:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:30 status unpacked libgcc-9-dev:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:30 install gcc-9:amd64 <none> 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:30 status half-installed gcc-9:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:31 status unpacked gcc-9:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:31 install gcc:amd64 <none> 4:9.3.0-1ubuntu2
2024-02-06 15:48:31 status half-installed gcc:amd64 4:9.3.0-1ubuntu2
2024-02-06 15:48:31 status unpacked gcc:amd64 4:9.3.0-1ubuntu2
2024-02-06 15:48:31 install libdpkg-perl:all <none> 1.19.7ubuntu3.2
2024-02-06 15:48:31 status half-installed libdpkg-perl:all 1.19.7ubuntu3.2
2024-02-06 15:48:31 status unpacked libdpkg-perl:all 1.19.7ubuntu3.2
2024-02-06 15:48:31 install make:amd64 <none> 4.2.1-1.2
2024-02-06 15:48:31 status half-installed make:amd64 4.2.1-1.2
2024-02-06 15:48:31 status unpacked make:amd64 4.2.1-1.2
2024-02-06 15:48:31 install dpkg-dev:all <none> 1.19.7ubuntu3.2
2024-02-06 15:48:31 status half-installed dpkg-dev:all 1.19.7ubuntu3.2
2024-02-06 15:48:32 status unpacked dpkg-dev:all 1.19.7ubuntu3.2
2024-02-06 15:48:32 install libc-dev-bin:amd64 <none> 2.31-0ubuntu9.14
2024-02-06 15:48:32 status half-installed libc-dev-bin:amd64 2.31-0ubuntu9.14
2024-02-06 15:48:32 status unpacked libc-dev-bin:amd64 2.31-0ubuntu9.14
2024-02-06 15:48:32 install linux-libc-dev:amd64 <none> 5.4.0-170.188
2024-02-06 15:48:32 status half-installed linux-libc-dev:amd64 5.4.0-170.188
2024-02-06 15:48:32 status unpacked linux-libc-dev:amd64 5.4.0-170.188
2024-02-06 15:48:32 install libcrypt-dev:amd64 <none> 1:4.4.10-10ubuntu4
2024-02-06 15:48:32 status half-installed libcrypt-dev:amd64 1:4.4.10-10ubuntu4
2024-02-06 15:48:32 status unpacked libcrypt-dev:amd64 1:4.4.10-10ubuntu4
2024-02-06 15:48:32 install libc6-dev:amd64 <none> 2.31-0ubuntu9.14
2024-02-06 15:48:32 status half-installed libc6-dev:amd64 2.31-0ubuntu9.14
2024-02-06 15:48:33 status unpacked libc6-dev:amd64 2.31-0ubuntu9.14
2024-02-06 15:48:33 install libstdc++-9-dev:amd64 <none> 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:33 status half-installed libstdc++-9-dev:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:33 status unpacked libstdc++-9-dev:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:33 install g++-9:amd64 <none> 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:33 status half-installed g++-9:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:34 status unpacked g++-9:amd64 9.4.0-1ubuntu1~20.04.2
2024-02-06 15:48:34 install g++:amd64 <none> 4:9.3.0-1ubuntu2
2024-02-06 15:48:34 status half-installed g++:amd64 4:9.3.0-1ubuntu2
2024-02-06 15:48:34 status unpacked g++:amd64 4:9.3.0-1ubuntu2
2024-02-06 15:48:34 install build-essential:amd64 <none> 12.8ubuntu1.1
